matchId,team,odds,prob_with_vig,prob
3370549,Qatar,3.75,0.26666666666666666,0.25287356321839083
3370549,Draw,3,0.3333333333333333,0.3160919540229885
3370549,Ecuador,2.2,0.45454545454545453,0.4310344827586207
3854559,England,1.36,0.7352941176470588,0.6956875508543532
3854559,Draw,4.75,0.21052631578947367,0.19918633034987795
3854559,Iran,9,0.1111111111111111,0.10512611879576893
3854554,Senegal,5.5,0.18181818181818182,0.17120265856872743
3854554,Draw,3.6,0.2777777777777778,0.261559617257778
3854554,Netherlands,1.66,0.6024096385542169,0.5672377241734945
3854560,USA,2.45,0.4081632653061224,0.39124433050680335
3854560,Draw,3.1,0.3225806451612903,0.3092092289489253
3854560,Wales,3.2,0.3125,0.2995464405442714
3854572,Argentina,1.11,0.9009009009009008,0.8482849890438895
3854572,Draw,8.5,0.11764705882352941,0.11077603974573147
3854572,Saudi Arabia,23,0.043478260869565216,0.04093897121037902
3854580,Denmark,1.57,0.6369426751592356,0.6045340050377834
3854580,Draw,4,0.25,0.23727959697732998
3854580,Tunisia,6,0.16666666666666666,0.15818639798488665
3854573,Mexico,2.45,0.4081632653061224,0.39124433050680335
3854573,Draw,3.1,0.3225806451612903,0.3092092289489253
3854573,Poland,3.2,0.3125,0.2995464405442714
3854579,France,1.18,0.8474576271186441,0.8017715332926084
3854579,Draw,7,0.14285714285714285,0.13515577275503968
3854579,Australia,15,0.06666666666666667,0.06307269395235185
3854592,Morocco,3.4,0.29411764705882354,0.2811148486304661
3854592,Draw,3.25,0.3076923076923077,0.2940893801057184
3854592,Croatia,2.25,0.4444444444444444,0.4247957712638154
3854586,Germany,1.4,0.7142857142857143,0.6818181818181818
3854586,Draw,5,0.2,0.19090909090909092
3854586,Japan,7.5,0.13333333333333333,0.12727272727272726
3854585,Spain,1.12,0.8928571428571428,0.840105424994509
3854585,Draw,9,0.1111111111111111,0.10454645288820558
3854585,Costa Rica,17,0.058823529411764705,0.055348122117285306
3854591,Belgium,1.6,0.625,0.5958549222797929
3854591,Draw,4,0.25,0.2383419689119171
3854591,Canada,5.75,0.17391304347826086,0.16580310880829016
3854598,Switzerland,1.8,0.5555555555555556,0.5292652552926526
3854598,Draw,3.4,0.29411764705882354,0.28019925280199254
3854598,Cameroon,5,0.2,0.19053549190535493
3854604,Uruguay,1.75,0.5714285714285714,0.5405405405405405
3854604,Draw,3.5,0.2857142857142857,0.27027027027027023
3854604,South Korea,5,0.2,0.1891891891891892
3854603,Portugal,1.28,0.78125,0.7289641766176062
3854603,Draw,5.25,0.19047619047619047,0.17772840877534016
3854603,Ghana,10,0.1,0.0933074146070536
3854597,Brazil,1.44,0.6944444444444444,0.6500776404176282
3854597,Draw,4.33,0.23094688221709006,0.2161921021250311
3854597,Serbia,7,0.14285714285714285,0.13373025745734066
3854562,Wales,2.1,0.47619047619047616,0.4527177959791511
3854562,Draw,3.2,0.3125,0.29709605361131797
3854562,Iran,3.8,0.2631578947368421,0.2501861504095309
3854555,Qatar,5.25,0.19047619047619047,0.18029164825452937
3854555,Draw,3.6,0.2777777777777778,0.2629253203711887
3854555,Senegal,1.7,0.5882352941176471,0.556783031374282
3854556,Netherlands,1.85,0.5405405405405405,0.5127995419972192
3854556,Draw,3.3,0.30303030303030304,0.28747853111965327
3854556,Ecuador,4.75,0.21052631578947367,0.1997219268831275
