long_name,short_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_position,nationality_name,nation_position,skill_moves,international_reputation,work_rate,player_tags,shooting,passing,dribbling,defending,physic,attacking_crossing,skill_ball_control,movement_sprint_speed,movement_agility,movement_reactions,power_stamina,power_strength,mentality_aggression,goalkeeping_diving,goalkeeping_reflexes
Lionel Andrés Messi Cuccittini,L. Messi,"RW, ST, CF",93,93,78000000,320000,34,170,72,Paris Saint-Germain,French Ligue 1,RW,Argentina,RW,4,5,Medium/Low,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",92,91,95,34,65,85,96,80,91,94,72,69,44,6,8
Robert Lewandowski,R. Lewandowski,ST,92,92,119500000,270000,32,185,81,FC Bayern München,German 1. Bundesliga,ST,Poland,RS,4,5,High/Medium,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward",92,79,86,44,82,71,88,79,77,93,76,86,81,15,10
Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,"ST, LW",91,91,45000000,270000,36,187,83,Manchester United,English Premier League,ST,Portugal,ST,5,5,High/Low,"#Aerial Threat, #Dribbler, #Distance Shooter, #Crosser, #Acrobat, #Clinical Finisher, #Complete Forward",94,80,88,34,75,87,88,88,86,94,77,77,63,7,11
Neymar da Silva Santos Júnior,Neymar Jr,"LW, CAM",91,91,129000000,270000,29,175,68,Paris Saint-Germain,French Ligue 1,LW,Brazil,,5,5,High/Medium,"#Speedster, #Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder",83,86,94,37,63,85,95,89,96,89,81,53,63,9,11
Kevin De Bruyne,K. De Bruyne,"CM, CAM",91,91,125500000,350000,30,181,70,Manchester City,English Premier League,RCM,Belgium,RCM,4,4,High/High,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",86,93,88,64,78,94,91,76,79,91,89,74,76,15,13
Jan Oblak,J. Oblak,GK,91,93,112000000,130000,28,188,87,Atlético de Madrid,Spain Primera Division,GK,Slovenia,,1,5,Medium/Medium,,NA,NA,NA,NA,NA,13,30,60,67,88,41,78,34,87,90
Kylian Mbappé Lottin,K. Mbappé,"ST, LW",91,95,194000000,230000,22,182,73,Paris Saint-Germain,French Ligue 1,ST,France,LW,5,4,High/Low,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",88,80,92,36,77,78,91,97,92,93,88,77,62,13,6
Manuel Peter Neuer,M. Neuer,GK,90,90,13500000,86000,35,193,93,FC Bayern München,German 1. Bundesliga,GK,Germany,GK,1,5,Medium/Medium,,NA,NA,NA,NA,NA,15,46,60,51,87,43,80,29,88,88
Marc-André ter Stegen,M. ter Stegen,GK,90,92,99000000,250000,29,187,85,FC Barcelona,Spain Primera Division,GK,Germany,,1,4,Medium/Medium,,NA,NA,NA,NA,NA,18,30,50,39,86,35,78,43,88,90
Harry Kane,H. Kane,ST,90,90,129500000,240000,27,188,89,Tottenham Hotspur,English Premier League,ST,England,ST,3,4,High/High,"#Distance Shooter, #Clinical Finisher",91,83,83,47,83,80,85,74,71,92,83,85,80,8,11
N'Golo Kanté,N. Kanté,"CDM, CM",90,90,100000000,230000,30,168,70,Chelsea,English Premier League,RCM,France,CDM,2,4,Medium/High,"#Tackling, #Tactician ",66,75,82,87,83,68,81,75,82,93,97,72,93,15,10
Karim Benzema,K. Benzema,"CF, ST",89,89,66000000,350000,33,185,81,Real Madrid CF,Spain Primera Division,CF,France,CF,4,4,Medium/Medium,#Poacher,86,81,87,39,77,75,90,75,79,91,78,82,63,13,7
Thibaut Courtois,T. Courtois,GK,89,91,85500000,250000,29,199,96,Real Madrid CF,Spain Primera Division,GK,Belgium,GK,1,4,Medium/Medium,,NA,NA,NA,NA,NA,14,23,52,62,84,38,70,23,84,88
손흥민 孙兴慜,H. Son,"LM, CF, LW",89,89,104000000,220000,28,183,78,Tottenham Hotspur,English Premier League,LW,Korea Republic,,4,4,High/High,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",87,82,86,43,69,83,84,90,86,91,88,64,62,11,10
Carlos Henrique Venancio Casimiro,Casemiro,CDM,89,89,88000000,310000,29,185,84,Real Madrid CF,Spain Primera Division,CDM,Brazil,,2,3,High/High,"#Engine, #Tackling, #Tactician, #Strength, #Complete Defender",73,76,73,86,90,58,79,69,61,87,89,90,91,13,12
Virgil van Dijk,V. van Dijk,CB,89,89,86000000,230000,29,193,92,Liverpool,English Premier League,LCB,Netherlands,LCB,2,4,Medium/Medium,"#Tackling, #Tactician, #Strength, #Complete Defender",60,71,72,91,84,53,76,88,61,87,69,92,83,13,11
Sadio Mané,S. Mané,LW,89,89,101000000,270000,29,175,69,Liverpool,English Premier League,LW,Senegal,,4,4,High/Medium,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",83,80,89,44,77,78,88,90,93,91,85,72,75,10,14
Mohamed Salah Ghaly,M. Salah,RW,89,89,101000000,270000,29,175,71,Liverpool,English Premier League,RW,Egypt,,4,4,High/Medium,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",87,81,90,45,75,79,89,91,91,92,85,75,63,14,14
Ederson Santana de Moraes,Ederson,GK,89,91,94000000,200000,27,188,86,Manchester City,English Premier League,GK,Brazil,,1,3,Medium/Medium,,NA,NA,NA,NA,NA,20,40,63,60,88,41,78,38,87,88
Joshua Walter Kimmich,J. Kimmich,"CDM, RB",89,90,108000000,160000,26,177,75,FC Bayern München,German 1. Bundesliga,RDM,Germany,RDM,3,4,High/Medium,#Crosser,73,86,84,83,79,91,85,65,84,88,94,68,89,8,15
Alisson Ramsés Becker,Alisson,GK,89,90,82000000,190000,28,191,91,Liverpool,English Premier League,GK,Brazil,,1,3,Medium/Medium,,NA,NA,NA,NA,NA,17,30,47,40,87,32,78,27,86,89
